id,annearn,occprest,sei,age,yearsed,gender,ln_earn,literacy,unemp,parented,Ethnicity,Language,Education
3.21E+10,12324,44,51,52,11,0,5.472270673671475,124.38563333333333,0,8.5,2,1,1
6.11E+10,17500,28,33,47,14,0,6.077642243349034,261.1384333333333,0,12,5,2,4
5.14E+10,43080,66,76,44,18,1,6.90875477931522,297.59319999999997,0,11,5,5,6
6.21E+10,32604,66,73,59,14,1,6.444131256700441,313.36379999999997,0,15,5,2,4
1.16E+10,16640,35,32,56,13,1,5.950642552587727,254.1198,0,16,5,5,3
6.12E+10,14560,30,29,59,13,0,5.638354669333745,223.66706666666667,0,11.5,5,5,3
3.22E+10,49920,48,64,29,13,0,6.8679744089702925,270.4787,0,14,1,5,3
3.13E+10,46800,42,34,32,13,1,6.803505257608338,288.2919,0,10.5,5,5,3
7.66E+10,26364,45,40,48,16,0,6.922643891475888,364.0018,0,14,5,5,5
3.33E+10,20400,32,51,36,13,1,5.993961427306569,334.14616666666666,0,14,5,5,3
2.12E+10,28600,40,53,34,16,1,6.311734809152915,334.2657,0,10,5,5,5
2.09E+10,26000,47,38,28,13,1,6.2166061010848646,306.1767,0,7.859258401646833,1,5,3
3.13E+10,14000,24,28,54,10,0,5.860786223465865,231.38713333333334,0,12,1,5,1
7.29E+10,NA,86,97,31,18,0,6.081416563490086,374.6537333333333,0,16,5,5,6
3.29E+10,NA,31,29,41,14,0,5.141295656392553,176.75273333333334,0,7,1,5,4
5.16E+10,NA,42,29,53,13,1,5.871155385013878,79.7783,0,12.213612058540361,5,5,3
6.12E+10,NA,51,64,54,14,1,6.7930731968670806,361.9845,0,11.5,5,5,4
4.11E+10,20384,47,61,40,13,1,5.973809611869261,264.41653333333335,0,8.97267184546442,2,5,3
4.07E+10,33800,46,38,31,13,1,6.68586094706836,307.62143333333336,0,14.5,5,5,3
6.64E+10,33800,40,32,50,8,0,6.478509642208569,241.94140000000002,0,8,5,5,1
3.27E+10,8112,32,30,46,13,0,5.081404364984463,302.3442333333333,0,7.5,5,5,3
4.06E+10,20020,30,38,53,14,0,5.955837369464831,303.8681666666667,0,14,5,5,4
2.03E+10,41600,48,64,42,13,0,6.68586094706836,344.9823333333333,0,10,5,5,3
6.16E+10,28800,71,88,36,18,0,6.326149473155099,367.5721,0,15.5,5,5,6
7.33E+10,26000,46,55,33,12,1,6.2166061010848646,252.61546666666666,0,5,5,2,3
5.43E+10,29120,47,54,40,12,1,6.3561076606958915,286.9984666666667,0,10,5,5,3
